game_id:ID(Game),title:string,title_zh:string,year:int,is_goty:boolean,genre:string,developer:string,developer_id:string,publisher:string,platforms:string,release_date:string,player_rating:int,rating_source:string,gameplay:string,unique_features:string,drawbacks:string,awards:string,influence:string,description:string
game_001,The Elder Scrolls IV: Oblivion,上古卷轴IV：湮没,2006,true,开放世界动作角色扮演,Bethesda Game Studios,studio_bethesda,Bethesda Softworks / 2K Games,PC;Xbox 360;PS3,2006-03-20,94,Metacritic,玩家以第一或第三人称在泰姆瑞尔大陆的赛洛迪尔省自由探索，通过提升主要技能升级角色。游戏继承了上古卷轴系列无缝开放的玩法，并新增任务追踪与日志系统。Radiant AI 让 NPC 拥有自主作息与社交行为。,引入创新的 Radiant AI 系统，使 NPC 能自主决定作息、对话与行动。庞大的支线任务与可阅读书籍构建出深厚的世界观。资料片《战栗孤岛》进一步扩展内容。,画面在当年已显疲态，部分任务引导不够清晰。敌人等级随玩家缩放的设计导致难度失衡。,2006 年多项年度游戏（斯派克奖、GameSpot 等）;Metacritic 94 分普遍好评;GDC 等多项技术/设计提名,确立了贝塞斯达以 Radiant AI 与无缝开放世界为核心的 RPG 设计范式。为后续《天际》奠定技术与叙事基础。是 21 世纪早期开放世界 RPG 的标杆之一。,贝塞斯达打造的奇幻开放世界 RPG，以 Radiant AI 与庞大自由度为特色的系列第四代作品。
game_002,The Elder Scrolls V: Skyrim,上古卷轴V：天际,2011,true,开放世界动作角色扮演,Bethesda Game Studios,studio_bethesda,Bethesda Softworks,PC;Xbox 360;PS3,2011-11-11,94,Metacritic,玩家扮演龙裔（Dragonborn），在诺德行省天际省自由探索、屠龙并提升技能。采用改进后的 Creation Engine，支持第一/第三人称切换与丰富的锻造、附魔系统。阵营任务与支线极大拓展了可玩性。,为几乎每个 NPC 赋予独立姓名与身份，强化沉浸感；世界状态具有高度物理持续性。巨龙战斗与声望技能系统成为系列标志。活跃的 Mod 社区极大延长了游戏寿命。,早期版本 bugs 较多，部分任务触发条件不清晰。战斗手感与人物动画在当年评价两极。,2011 年度游戏（金摇杆奖、斯派克奖、IGN 等）;Metacritic 94 分;BAFTA 等多项大奖,成为开放世界 RPG 与沉浸式叙事的行业标杆，至今仍被频繁重制与移植。其 Mod 生态深刻影响了后续 Bethesda 作品与社区文化。推动了奇幻题材在主机市场的普及。,贝塞斯达的奇幻开放世界 RPG 巅峰之作，玩家以龙裔身份在冰天雪地的天际省屠龙冒险。
game_003,Grand Theft Auto IV,侠盗猎车手IV,2008,true,开放世界动作冒险,Rockstar Games（Rockstar North 开发）,studio_rockstar,Rockstar Games,PS3;Xbox 360;PC,2008-04-29,98,Metacritic,玩家操控东欧移民尼科·贝里克在虚构的自由城（影射纽约）中完成黑帮任务与自由探索。采用 RAGE 引擎与 Euphoria 程序化物理，驾驶与格斗更趋写实。包含最多 32 人的在线多人模式。,Metacritic 双 98 分，与《塞尔达：时之笛》并列历史最高分之一。Euphoria 物理引擎带来真实倒地碰撞反馈。资料片《失落与诅咒》《夜生活之曲》构成多线交叉叙事。,PC 版首发优化糟糕，后期需手动配置画质。主线后半段任务重复感明显；2014 年后多人服务器关闭。,2008 年度游戏（斯派克奖、时代周刊、纽约时报等）;Metacritic 98 分;BAFTA 7 项提名,开启 GTA 系列的『HD 宇宙』，将叙事深度与写实物理推向新高度。对开放世界动作冒险的叙事与角色塑造影响深远。重定义了现代城市开放世界的沉浸标准。,Rockstar North 开发的写实主义开放世界犯罪动作游戏，以自由城为舞台的系列革新之作。
game_004,Grand Theft Auto V,侠盗猎车手V,2013,true,开放世界动作冒险,Rockstar Games（Rockstar North 开发）,studio_rockstar,Rockstar Games,PS3;Xbox 360;PC,2013-09-17,97,Metacritic,玩家可在三位主角迈克尔、富兰克林与崔佛间切换，于圣安地列斯州的洛圣都展开抢劫与犯罪。开放世界包含动态天气、海量支线与《GTA Online》多人模式。载具与射击系统较前作更顺滑。,首创三主角切换叙事机制，增强叙事层次。GTA Online 长期运营成为业界最成功的线上模式之一。Metacritic 97 分，首发三日销售额破 10 亿美元。,后期重制版（如 PS5/XSX）评分下滑；叙事被部分评论认为弱于前作。线上模式微交易与工作室争议不断。,2013 年度游戏（金摇杆奖、BAFTA 英国游戏奖等）;Metacritic 97 分;多项技术/设计奖,成为史上销量第二高的电子游戏，树立了开放世界与线上服务的商业范本。三主角设计影响后续叙事游戏。其开发商 Rockstar 被视为开放世界黄金标准。,Rockstar 的开放世界犯罪动作巨作，以三主角切换与洛圣都为舞台的系列新高峰。
game_005,Red Dead Redemption,荒野大镖客：救赎,2010,true,开放世界西部动作冒险,Rockstar Games（Rockstar San Diego 开发）,studio_rockstar,Rockstar Games,PS3;Xbox 360,2010-05-18,95,Metacritic,玩家扮演前亡命徒约翰·马斯顿，在 1911 年美国西部与墨西哥边境自由探索、赏金追猎与决斗。采用第三人称视角，包含 Dead Eye 标记射击与丰富随机遭遇。多人模式支持合作与对抗。,以西部荒野的衰落为基调，营造出极具电影感的叙事与氛围。Metacritic 95 分，获 20 余家媒体满分。资料片《不死梦魇》以僵尸题材拓展世界。,部分墨西哥章节任务节奏拖沓；后期移植版帧率与定价遭批评。相比续作，早期系统略显粗糙。,2010 年度游戏（斯派克奖、GDC 奖等）;Metacritic 95 分;BAFTA 等多项提名,将 Rockstar 的开放世界公式成功移植到西部题材，为《荒野大镖客2》铺路。其叙事深度与结局广受赞誉，提升了动作冒险游戏的艺术地位。,Rockstar San Diego 开发的西部题材开放世界动作冒险游戏，讲述亡命徒寻求救赎的史诗。
game_006,BioShock,生化奇兵,2007,true,第一人称射击,Irrational Games（当时名 2K Boston）,studio_irrational,2K Games,PC;Xbox 360;PS3,2007-08-21,96,Metacritic,玩家以第一人称在水下废城 Rapture 中探索，使用质粒（Plasmid）获得超能力与枪械战斗。通过散落的录音带（音频日记）逐步拼凑故事。道德选择影响结局走向。,将安·兰德式客观主义哲学融入反乌托邦叙事，主题深刻。环境叙事（音频日记、Big Daddy 与 Little Sister）密度极高。Metacritic 96 分，被誉为叙事驱动射击的里程碑。,后期战斗与『救援 Little Sister』机制略显重复；部分解谜引导不足。主机版首发偶有技术问题。,2007 年度游戏（BAFTA 最佳游戏、斯派克奖、IGN 等）;Metacritic 96 分;AIAS 艺术指导/音效/剧本奖,重新定义了『叙事性射击游戏』，证明电子游戏可承载严肃哲学思辨。其环境叙事手法深刻影响了后续沉浸式模拟类游戏。被视为 21 世纪最具艺术野心的游戏之一。,Irrational Games 开发的反乌托邦第一人称射击游戏，以海底城 Rapture 与哲学叙事著称。
game_007,Uncharted 2: Among Thieves,神秘海域2：纵横四海,2009,true,动作冒险,Naughty Dog,studio_naughtydog,Sony Computer Entertainment,PlayStation 3; PlayStation 4,2009-10-13,96,Metacritic,第三人称动作冒险，融合跑酷攀爬、掩体射击与近身格斗。玩家扮演宝藏猎人内森·德雷克，在尼泊尔、西藏与雨林中寻找香巴拉。关卡包含火车车厢战、雪山大本营等大型场景演出，节奏张弛有度。,以「电影化叙事」著称，过场与游玩无缝衔接。首次在PS3上实现大规模动态载具关卡（如行驶中的火车）。角色对白与表演捕捉充满魅力，配角塑造尤为出彩。,部分攀爬路线提示不足，易迷路。多人模式已于2019年停服。个别解谜节奏略显拖沓。,BAFTA最佳动作游戏; D.I.C.E.年度游戏; Game Developers Choice Awards年度游戏; Spike VGA年度游戏; IGN年度游戏,确立了「电影化游戏」的行业标准，深刻影响了《地平线》《战神2018》等作品。推动了表演捕捉在叙事游戏中的普及。被视为PS3时代最具代表性的独占大作之一，常被列为史上最佳游戏。,顽皮狗出品的电影化动作冒险巅峰之作，以行云流水的叙事与关卡设计被誉为史上最佳续作之一。
game_008,The Last of Us Part II,最后生还者 第二部,2020,true,动作冒险 / 生存恐怖,Naughty Dog,studio_naughtydog,Sony Interactive Entertainment,PlayStation 4; PlayStation 5,2020-06-19,93,Metacritic,第三人称生存动作游戏，强调潜行、资源管理与近战对抗。玩家交替操控艾莉与艾比两位主角推进双线叙事。玩法在前作基础上强化了战斗手感、可探索区域与敌人AI。,双向叙事结构让玩家体验对立双方视角，挑战传统英雄叙事。业界顶尖的表演捕捉与音频设计（含大量无障碍创新）。对暴力循环与复仇主题的严肃探讨。,叙事结构与角色安排引发玩家两极分化与争议。流程偏长（约25-30小时），部分玩家认为后段节奏放缓。部分玩家对剧情走向表达强烈不满。,The Game Awards年度游戏; Golden Joystick年度游戏; D.I.C.E.年度游戏; BAFTA最佳叙事; 最佳表演(Laura Bailey),将3A叙事游戏的情感表达与制作水准推向新高度。其无障碍设计（高对比度、听觉辅助等）成为行业标杆。引发关于游戏叙事伦理与玩家期待权的广泛讨论。,顽皮狗以双线叙事探讨复仇与和解的生存动作神作，在技术与叙事上均树立了新的行业标杆。
game_009,God of War,战神（2018）,2018,true,动作冒险,Santa Monica Studio,studio_santamonica,Sony Interactive Entertainment,PlayStation 4; PlayStation 5; Microsoft Windows,2018-04-20,94,Metacritic,第三人称越肩视角，融合砍杀、解谜与探索。玩家操控奎托斯与儿子阿特柔斯在北欧九界展开旅程。战斗以利维坦之斧为核心，强调时机、连招与投斧召回。,将系列从希腊神话转向北欧神话并「软重启」。采用一镜到底的伪长镜头叙事，营造沉浸感。父子关系的情感刻画取代单纯暴力爽快，叙事深度显著提升。,支线探索相对线性，开放度有限。个别解谜重复度较高。前期节奏较慢，需一定时间进入高潮。,The Game Awards年度游戏; BAFTA最佳游戏; D.I.C.E.年度游戏; Game Developers Choice Awards年度游戏; IGN年度游戏,重新定义了经典动作系列，证明「软重启+叙事驱动」可获巨大成功。影响了后续索尼第一方作品对角色深度的重视。被视为PS4时代标杆独占，并被玩家票选为IGN史上最佳游戏。,圣莫尼卡工作室将战神系列北欧化的软重启之作，以父子之情与一战斧重塑动作冒险标杆。
game_010,Astro Bot,宇宙机器人,2024,true,3D平台跳跃,Team Asobi,studio_asobi,Sony Interactive Entertainment,PlayStation 5,2024-09-06,94,Metacritic,3D平台跳跃游戏，操控机器人Astro跳跃、悬停、拳击与旋转攻击。包含大量创意关卡、Boss战与隐藏收集。充分运用DualSense手柄的触觉反馈与自适应扳机。,被誉为「PlayStation三十周年活的博物馆」，收录大量经典索尼角色彩蛋。将DualSense特性发挥到极致，关卡设计充满巧思。手感与创意达到系列巅峰，是年度评分最高新作。,体量相对传统3A较小，流程约12-15小时。部分隐藏收集较为硬核。无中文语音（但支持简繁中文界面与字幕）。,The Game Awards年度游戏; D.I.C.E.年度游戏; 金摇杆年度游戏; BAFTA最佳家庭游戏,成为史上获奖最多的平台游戏（累计超百项年度游戏提名与获奖）。重振了PlayStation第一方吉祥物IP。证明精致中型独占同样可夺得年度游戏，鼓舞了行业对平台游戏类型的信心。,Team Asobi打造的3D平台跳跃神作，以极致手感与DualSense创意致敬PlayStation三十周年。
