studio_id:ID(Studio),name:string,name_zh:string,founded:int,country:string,hq:string,parent:string,description:string
studio_bethesda,Bethesda Game Studios,贝塞斯达游戏工作室,2001,美国,"马里兰州罗克维尔（Rockville, Maryland）",Bethesda Softworks,美国游戏开发商，2001 年从贝塞斯达软件的开发部门分拆成立，总部位于马里兰州罗克维尔。以《上古卷轴》《辐射》《星空》等大型开放世界单人 RPG 闻名，由托德·霍华德领衔；2021 年起随 ZeniMax Media 被微软收购。
studio_rockstar,Rockstar Games,Rockstar 游戏,1998,美国,纽约市（New York City）,Take-Two Interactive,美国游戏发行与开发商，1998 年 12 月作为 Take-Two Interactive 的高端子品牌于纽约成立。以《侠盗猎车手》《荒野大镖客》等开放世界动作冒险游戏闻名；旗下设有多家内部工作室，包括 Rockstar North（爱丁堡）与 Rockstar San Diego 等。
studio_irrational,Irrational Games,非理性游戏,1997,美国,马萨诸塞州（Westwood / Quincy）,2K（Take-Two Interactive）,美国游戏开发商，1997 年由肯·列文等三名前 Looking Glass Studios 员工创立。《生化奇兵》系列开发商，作品由 2K Games 发行；2014 年大幅重组，2017 年更名为 Ghost Story Games。
studio_naughtydog,Naughty Dog,顽皮狗,1984,美国,圣莫尼卡（加利福尼亚州）,Sony Interactive Entertainment（索尼互动娱乐 / PlayStation Studios）,顽皮狗是美国索尼第一方游戏工作室，由Andy Gavin与Jason Rubin于1984年以JAM Software之名创立，2001年被索尼收购。工作室以电影化叙事与鲜活角色塑造闻名，代表作涵盖《古惑狼》《杰克与达斯特》《神秘海域》《最后生还者》等系列，累计销量超过1.2亿份，长期被视为业界叙事与制作水准的标杆。
studio_santamonica,Santa Monica Studio,圣莫尼卡工作室,1999,美国,洛杉矶（加利福尼亚州，原址圣莫尼卡）,Sony Interactive Entertainment（索尼互动娱乐 / PlayStation Studios）,圣莫尼卡工作室成立于1999年，由索尼老员工Allan Becker创立，以《战神》系列闻名于世。除内部开发外，曾作为孵化部门扶持thatgamecompany等独立团队（参与《风之旅人》《花》等）。2018年《战神》与2022年《战神：诸神黄昏》均获评论与商业双重成功。
studio_asobi,Team Asobi,Asobi团队,2012,日本,东京,Sony Interactive Entertainment（前属SIE Japan Studio，2021年独立为PlayStation Studios旗下工作室）,Team Asobi源自SIE Japan Studio内部的Asobi!团队，由Nicolas Doucet于2012年组建，2021年日本工作室重组后独立为索尼第一方工作室。以机器人吉祥物Astro系列和展示PlayStation硬件特性的创意作品著称，2024年《宇宙机器人》一举夺得年度游戏。
studio_hazelight,Hazelight Studios,Hazelight工作室,2014,瑞典,斯德哥尔摩,Electronic Arts（EA Originals计划）,由电影导演Josef Fares于2014年在斯德哥尔摩创立的独立游戏工作室，专注于纯双人合作体验。旗下作品均通过EA Originals计划发行，以天马行空的创意关卡设计著称，代表作包括《兄弟：双子传说》《逃出生天》《双人成行》《双影奇境》。
studio_bioware,BioWare,BioWare,1995,加拿大,埃德蒙顿,Electronic Arts（2007年收购）,由Ray Muzyka、Greg Zeschuk和Augustine Yip于1995年在埃德蒙顿创立，2007年被EA收购。以剧情驱动、强调选择与后果的RPG闻名，打造了《博德之门》《无冬之夜》《星球大战：旧共和国武士》《质量效应》《龙腾世纪》等经典系列。
studio_cdpr,CD Projekt Red,CD Projekt Red,2002,波兰,华沙,CD Projekt,CD Projekt集团旗下工作室，2002年成立于华沙，以还原波兰作家Sapkowski原著《猎魔人》系列的《巫师》三部曲闻名。坚持玩家友好政策与内容充实的开放世界RPG，后续推出《赛博朋克2077》及其资料片《往日之影》。
studio_larian,Larian Studios,拉瑞安工作室,1996,比利时,根特,独立（无母公司，自研自发）,由 Swen Vincke 于1996年在比利时根特创立，专注角色扮演游戏。以《神界》系列与《博德之门3》闻名，是欧洲规模最大的独立RPG开发商之一，坚持玩家自由与系统性玩法的设计理念。
